,stature,weightkg,waistcircumference
0,1560,657,850
1,1665,534,708
2,1711,663,727
3,1660,782,923
4,1572,886,1163
5,1707,837,968
6,1644,732,964
7,1671,760,914
8,1521,545,755
9,1590,684,944
10,1707,990,935
11,1668,742,942
12,1654,781,995
13,1666,718,848
14,1599,709,929
15,1673,672,835
16,1647,620,772
17,1678,595,805
18,1679,741,868
19,1615,605,792
20,1517,800,1137
21,1674,747,881
22,1623,491,702
23,1668,703,954
24,1644,715,796
25,1579,708,1000
26,1446,488,742
27,1620,691,912
28,1684,730,913
29,1619,610,821
30,1592,658,930
31,1655,709,901
32,1723,728,935
33,1677,846,1077
34,1654,945,1112
35,1634,627,812
36,1683,578,869
37,1552,524,712
38,1617,732,1057
39,1588,791,964
40,1641,894,1134
41,1685,689,869
42,1656,758,942
43,1603,731,1019
44,1608,748,865
45,1664,806,975
46,1619,714,814
47,1620,712,947
48,1720,657,794
49,1582,477,679
50,1720,696,890
51,1720,1196,1334
52,1701,887,1076
53,1627,754,1007
54,1536,678,897
55,1546,607,832
56,1654,572,766
57,1605,689,878
58,1630,712,943
59,1612,604,825
60,1757,697,812
61,1670,854,1062
62,1632,617,914
63,1635,790,987
64,1682,672,868
65,1661,695,839
66,1596,669,814
67,1596,574,804
68,1665,815,925
69,1617,618,805
70,1555,645,811
71,1578,557,757
72,1581,614,839
73,1698,668,821
74,1554,730,1001
75,1756,737,860
76,1566,693,922
77,1651,757,1012
78,1585,740,981
79,1657,682,870
80,1719,867,931
81,1822,882,895
82,1649,786,925
83,1687,622,751
84,1698,782,1019
85,1530,608,784
86,1581,674,917
87,1609,686,865
88,1644,670,847
89,1548,635,785
90,1606,773,1004
91,1642,555,759
92,1622,727,955
93,1669,593,694
94,1745,998,1068
95,1495,581,948
96,1493,642,912
97,1641,758,989
98,1607,683,887
99,1560,471,698
100,1625,665,822
101,1670,685,885
102,1616,579,764
103,1582,647,943
104,1730,591,809
105,1501,450,739
106,1515,572,826
107,1576,721,962
108,1628,676,849
109,1586,711,951
110,1737,791,889
111,1576,536,790
112,1626,639,811
113,1604,628,831
114,1673,788,958
115,1642,598,761
116,1538,752,1070
117,1574,686,923
118,1637,668,949
119,1620,613,858
120,1733,742,859
121,1526,522,721
122,1732,767,908
123,1624,661,880
124,1507,505,759
125,1560,637,919
126,1640,666,908
127,1675,610,731
128,1526,581,820
129,1623,609,821
130,1584,575,740
131,1671,797,1024
132,1552,745,932
133,1633,614,827
134,1530,677,896
135,1606,508,738
136,1617,633,832
137,1645,711,851
138,1681,727,859
139,1655,679,906
140,1626,833,1028
141,1635,622,786
142,1572,616,853
143,1608,573,745
144,1662,507,737
145,1582,611,802
146,1701,866,1045
147,1602,523,763
148,1549,676,955
149,1561,549,719
150,1677,571,746
151,1594,644,874
152,1628,649,772
153,1549,592,802
154,1559,563,719
155,1619,580,862
156,1690,810,1044
157,1698,649,817
158,1705,654,817
159,1625,570,816
160,1666,805,939
161,1559,671,863
162,1595,673,915
163,1634,550,764
164,1643,708,899
165,1667,538,782
166,1661,771,897
167,1560,602,817
168,1610,719,900
169,1610,617,830
170,1682,761,947
171,1604,739,958
172,1540,560,767
173,1638,647,777
174,1656,724,896
175,1597,708,968
176,1749,953,997
177,1661,748,879
178,1526,700,1000
179,1583,655,931
180,1533,499,748
181,1575,553,734
182,1776,924,1021
183,1713,716,874
184,1653,676,803
185,1516,641,935
186,1658,666,810
187,1617,663,882
188,1687,763,920
189,1603,717,1085
190,1539,643,923
191,1603,591,840
192,1620,529,783
193,1617,694,924
194,1600,699,972
195,1572,592,774
196,1632,540,708
197,1690,701,879
198,1682,681,830
199,1657,864,980
200,1672,672,883
201,1621,559,754
202,1623,566,767
203,1633,585,868
204,1526,628,938
205,1570,467,682
206,1616,599,762
207,1690,642,802
208,1637,813,1060
209,1718,719,922
210,1588,548,783
211,1520,485,707
212,1618,658,795
213,1631,753,862
214,1642,636,929
215,1719,752,858
216,1715,755,784
217,1653,469,632
218,1590,537,809
219,1751,758,912
220,1583,679,941
221,1627,684,854
222,1586,677,885
223,1675,617,783
224,1606,717,927
225,1680,642,785
226,1773,740,858
227,1680,792,958
228,1645,581,707
229,1558,727,1004
230,1665,704,905
231,1601,653,989
232,1658,725,906
233,1623,721,854
234,1661,561,738
235,1563,583,784
236,1630,677,871
237,1528,576,811
238,1653,559,728
239,1512,468,763
240,1629,567,793
241,1675,820,1001
242,1498,664,922
243,1538,626,829
244,1567,653,850
245,1590,539,731
246,1573,750,996
247,1595,704,871
248,1610,675,1036
249,1565,640,835
250,1523,470,665
251,1570,502,671
252,1556,597,769
253,1599,646,850
254,1611,726,936
255,1681,631,758
256,1585,631,888
257,1614,660,941
258,1674,789,812
259,1653,531,704
260,1593,708,1027
261,1592,625,885
262,1617,680,872
263,1589,734,1041
264,1597,688,859
265,1698,840,1022
266,1619,647,790
267,1663,561,711
268,1606,735,941
269,1609,733,1076
270,1696,605,797
271,1723,722,904
272,1748,908,979
273,1695,760,888
274,1648,606,769
275,1579,573,807
276,1587,602,839
277,1604,669,975
278,1603,829,1127
279,1712,765,930
280,1628,671,907
281,1520,589,919
282,1640,615,839
283,1616,529,697
